name,edition,type,price,rating
Copper & Kings,Copper & Kings Butchertown Brandy,Brandy,60.99,7.4
Ohishi,Ohishi Brandy Single Cask Whisky,Japanese Whisky,75.99,8.1
Moorland Spirit Co.,Hepple High Fidelity Gin,Gin,48.99,8.8
The Glenrothes,The Glenrothes 10 Year Old,Scotch,46.99,8.1
The Glenrothes,The Glenrothes 12 Year Old,Scotch,50.99,7.7
The Glenrothes,The Glenrothes Whisky Maker's Cut,Scotch,56.99,7.9
The Glenrothes,The Glenrothes 18 Year Old,Scotch,133.99,8.4
Chareau,Chareau Aloe Vera Liqueur,Liqueur,24.99,9.6
Seedlip,Seedlip Grove 42,Non-alcoholic Spirit,32.99,6.7
Balvenie,The Balvenie 21 Year Old Port Wood Finish,Scotch,244.99,9.2
Koval,Koval Cranberry Gin Liqueur,Liqueur,35.99,8.5
Game of Thrones,Game of Thrones House Tully Singleton of Glendullan Select,Scotch,34.99,7.5
Game of Thrones,Game of Thrones House Stark Dalwhinnie Winter's Frost,Scotch,39.99,7.8
Game of Thrones,Game of Thrones House Targaryen Cardhu Gold Reserve,Scotch,43.99,7.8
Game of Thrones,Game of Thrones House Lannister Lagavulin 9 Year Old,Scotch,69.99,7.6
Game of Thrones,Game of Thrones House Greyjoy Talisker Select Reserve,Scotch,57.99,7.6
Game of Thrones,Game of Thrones House Baratheon Royal Lochnagar 12 Year Old,Scotch,67.99,8
Game of Thrones,Game of Thrones House Tyrell Clynelish Reserve,Scotch,80.99,6.4
Game of Thrones,Game of Thrones The Night's Watch Oban Bay Reserve,Scotch,62.99,8.3
Prichard's,Prichard's Bourbon Liqueur Sweet Lucy,Liqueur,31.99,7.8
Basil Hayden's,Basil Hayden's Dark Rye,Rye,43.99,8
Jameson,Jameson Bow Street 18 Year Old Batch 1,Irish Whiskey,165.99,9.2
Hillrock,Hillrock Solera Aged Bourbon Whiskey,Bourbon,92.99,8.8
High West,High West Bourye Whiskey,Rye,84.99,8.2
Shakmat,Shakmat 23 Year Old,Brandy,110,8.2
Blackened,Blackened American Whiskey,American Whiskey,41.99,7.8
Peerless,Peerless Kentucky Straight Rye Whiskey (200ml),Rye,29.99,7.8
Breaker,Breaker Port Barrel Finish Bourbon Whisky,Bourbon,59.99,7.9
Rabbit Hole,Rabbit Hole Dareringer,Bourbon,79.99,8
Rabbit Hole,Rabbit Hole Cavehill Straight Bourbon Whiskey,Bourbon,60.99,8.2
Tullibardine,Tullibardine Chateauneuf du Pape,Scotch,95.99,7.9
Knob Creek,Knob Creek Twice Barreled Rye 2018,Rye,51.99,8.3
Hendrick's Gin,Hendrick's Orbium Gin,Gin,41.99,8.7
Alexander Murray,Alexander Murray Laphroaig 12 Year Old,Scotch,130.99,6.6
Highland Park,Highland Park The Light 17 Year Old,Scotch,250.99,9.2
The Macallan,The Macallan Classic Cut 2018 Limited Edition,Scotch,90.99,8.9
The Macallan,The Macallan 18 Year Old Triple Cask Matured,Scotch,309.99,8.9
Copper Fox,Copper Fox American Single Malt Whisky,American Whiskey,48.99,5.7
Compass Box,Compass Box Juveniles Limited Edition,Scotch,135.99,8.7
Old Forester,Old Forester 1910 Old Fine Whiskey,Bourbon,58.99,8.2
Jefferson's,Jefferson's Reserve Old Rum Cask Finish Bourbon,Bourbon,97.99,8.5
Wyoming Whiskey,Wyoming Whiskey Double Cask,American Whiskey,64.99,8.3
Wyoming Whiskey,Wyoming Whiskey Outryder,American Whiskey,75.99,7.3
Fukano,Fukano Vault Reserve Whisky #1,Japanese Whisky,82.99,7.3
Oppidan Spirits,Oppidan Four Grain Small Batch Bourbon,Bourbon,55.99,7.2
Cooperstown Distillery,Cooperstown Doubleday Baseball Bourbon,Bourbon,35.99,6.9
Mizu,Mizu Shochu Green Tea,Spirit,42.99,7.1
Kodama,Toji Junpei Tezukuri Shochu,Spirit,51.99,7.4
Kuroki Honten,Yamasemi Kingfisher Rice Shochu,Spirit,44.99,7.5
Munemasa,Mizu Shochu Lemongrass,Spirit,38.99,7.3
Watanabe,Kuro-Koji Asahi-Mannen Shochu,Spirit,42.99,6.2
Yanagita,The Yanagita Koma Honkaku Barley Shochu,Spirit,23.99,6.8
Ao,Ao Vodka,Vodka,49.99,8.7
Nikka,Nikka Coffey Vodka,Vodka,39.99,8.3
Etsu,Etsu Gin,Gin,44.99,8.8
Nikka,Nikka Coffey Gin,Gin,47.99,8.8
Akashi,Akashi Single Malt Whisky,Japanese Whisky,114.99,8.8
Kavalan,Kavalan Distillery Select,Taiwanese Whisky,49.99,7.1
Glenmorangie,Glenmorangie Allta Private Edition No. 10,Scotch,100.99,8.6
Jameson,Jameson The Distiller's Safe,Irish Whiskey,68.99,7.6
Minor Case,Minor Case Rye,American Whiskey,37.99,8.1
Legent,Legent Bourbon,Bourbon,43.99,7.8
Iron Smoke,Iron Smoke Casket Strength,Bourbon,80.99,7.8
Noble Oak,Noble Oak Double Oak Bourbon Whiskey,Bourbon,31.99,7.5
Kubler & Wyss,Kubler & Wyss Absinthe,Absinthe,66.99,7
Glenmorangie,Glenmorangie Spìos Private Edition Single Malt,Scotch,96.99,7.7
Bulleit,Bulleit Barrel Strength,Bourbon,46.99,7.7
Grande Absente,Grande Absente,Absinthe,75.99,8.3
Combier Distillery,Lucid Absinthe Supérieure,Absinthe,70.99,7.7
Absenthe,Absente Refined,Absinthe,41.99,7.7
Iron Smoke,Rattlesnake Rosie's Maple Bacon,American Whiskey,40.99,6.5
Oppidan Spirits,Oppidan Bourbon Smoke + Sea,Bourbon,50.99,7.7
Oppidan Spirits,Oppidan Bourbon Solera Aged,American Whiskey,50.99,7.4
Wahaka,Wahaka Mezcal Espadín,Mezcal,41.99,7.6
Patique,Patique Cherry Liqueur,Liqueur,33.99,8.7
Crown Royal,Crown Royal Noble Collection 13 year old Blenders' Mash,Canadian Whisky,67.99,8.4
Old Forester,Old Forester Rye,Rye,26.99,7.2
Turquoise Bay,Turquoise Bay Amber Rum,Rum,32.99,7.4
WhistlePig,WhistlePig PiggyBack Rye,Rye,50.99,8.2
Journeyman,Journeyman Whiskey Buggy Whip Wheat,American Whiskey,51.99,7.6
Journeyman,Journeyman Silver Cross Whiskey,American Whiskey,48.99,7.1
Virgil Kaine,Virgil Kaine Roundhouse Double Barrel,American Whiskey,64.99,7.2
Virgil Kaine,Virgil Kaine Robber Baron Rye,Rye,40.99,7.6
Balcones,Balcones Texas Pot Still Bourbon,Bourbon,30.99,7.4
Kaiyo,Kaiyo Japanese Mizunara Oak,Japanese Whisky,66.99,7.3
Ming River,Ming River Sichuan Baijiu,Baijiu,45.99,4.3
Viva XXXII,Viva XXXII Tequila Joven,Tequila,39.99,7.9
Sagamore Spirit,Sagamore Spirit Rye Double Oak,Rye,60.99,8.1
Bunnahabhain,Bunnahabhain Toiteach a Dhà,Scotch,72.99,8.3
Bulleit,Bulleit 12 Year Old Rye Whiskey,Rye,62.99,7.8
Suntory,Suntory Haku Vodka,Vodka,29.99,8.7
Kweichow Moutai,Kweichow Moutai Baijiu,Spirit,234.99,8.6
Freeland Spirits,Freeland Spirits Bourbon,Bourbon,44.99,7.8
Freeland Spirits,Freeland Spirits Gin,Gin,43.99,8.5
Sagamore Spirit,Sagamore Spirit Rye Port Finish,Rye,65.99,7.8
Pusser's,Pusser's 15 Year Old The Crown Jewel,Rum,82.99,8.9
Basil Hayden's,Basil Hayden's Kentucky Straight Bourbon Whiskey,Bourbon,22.99,7.8
Barrell Dovetail,Barrell Dovetail,Bourbon,90.99,8.3
Traverse City Whiskey Co.,Traverse City Straight Bourbon,Bourbon,41.99,7.7
Hennessy,Hennessy Master Blender's Selection No. 3 Limited Edition Cognac,Cognac,90.99,8.9
Rogue,Rogue Rolling Thunder Stouted Whiskey,American Whiskey,69.99,8
Armorik,Armorik Double Maturation,French Whisky,78.99,8.2
Corsair,Corsair Wildfire,American Whiskey,46.99,6
Starward,Starward Nova Single Malt,Australian Whisky,47.99,7.5
Gouden Carolus,Gouden Carolus Belgian Single Malt Whisky,Belgian Whisky,57.99,6.7
Knappogue Castle,Knappogue Castle 12 Year Old Marsala Cask,Irish Whiskey,84.99,8.4
Knappogue Castle,Knappogue Castle 21 Year Old,Irish Whiskey,198.99,8
Uncle Nearest,Uncle Nearest 1856 Premium Aged Whiskey,American Whiskey,59.99,8.4
Heaven's Door,Heaven's Door Straight Tennessee Bourbon,Bourbon,45.99,8
Amrut,Amrut Two Indies Rum,Rum,31.99,7.1
Plantation,Plantation Rum Peru Vintage 2004,Rum,61.99,8.3
Novo Fogo,Novo Fogo Barrel Aged Cachaça,Cachaça,41.99,6.4
Wild Tiger,Wild Tiger Rum Special Reserve,Rum,22.99,7.8
Plantation,Plantation Rum Jamaica Vintage Edition,Rum,59.99,7.9
Single Cask Nation,Single Cask Nation Rum 18 Year,Rum,155.99,0
Skrewball Whiskey,Skrewball Peanut Butter Flavored Whiskey,American Whiskey,24.99,7.5
Heritage Distilling,BSB Brown Sugar Bourbon,Bourbon,21.99,6.9
High West,High West Bourye Limited Sighting,Rye,84.99,8.4
Hendrick's Gin,Hendrick's Midsummer Solstice,Gin,37.99,8.6
Cream of Kentucky,Cream of Kentucky 11.5 Year Old,Bourbon,160.99,8.3
Hardshore,Hardshore Original Gin,Gin,35.99,7.5
Probitas,Probitas White Blended Rum,Rum,31.99,8
Mi Campo,Mi Campo Reposado Tequila,Tequila,21.99,8.4
Mi Campo,Mi Campo Blanco Tequila,Tequila,23.99,8.3
Casamigos,Casamigos Blanco Tequila,Tequila,41.99,8.1
Boone's,Boone's Bourbon,Bourbon,49.99,7.4
Johnnie Walker,Johnnie Walker Blue Label Ghost and Rare Port Ellen,Scotch,401.99,8.7
Orphan Barrel,Orphan Barrel Forager's Keep,Scotch,401.99,9.5
Crooked Water,Crooked Water Old Hell Roaring,Bourbon,56.99,8.2
Crown Royal,Crown Royal French Oak Cask Finished,Canadian Whisky,66.99,7.2
Ving,Ving Kale Lemon Peel & Cucumber Vodka,Vodka,43.99,7.9
Mr. Black,Mr. Black Cold Brew Coffee Liqueur,Liqueur,32.99,8.8
Garrison Brothers,Garrison Brothers Boot Flask,Bourbon,39.99,8.2
Old Elk,Old Elk Bourbon,Bourbon,50.99,7.9
Bumbu,Bumbu XO Rum,Rum,42.99,8.4
